,report_date,case_status,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-11-24T00:00:00.000,Confirmed,200284,13939,3660
1,2020-11-24T00:00:00.000,Probable,23298,273,319
2,2020-11-23T00:00:00.000,Confirmed,198142,13834,3629
3,2020-11-23T00:00:00.000,Probable,22896,262,313
4,2020-11-22T00:00:00.000,Confirmed,195499,13787,3628
5,2020-11-22T00:00:00.000,Probable,22297,259,310
6,2020-11-21T00:00:00.000,Confirmed,193754,13759,3628
7,2020-11-21T00:00:00.000,Probable,21925,258,310
8,2020-11-20T00:00:00.000,Confirmed,191971,13666,3605
9,2020-11-20T00:00:00.000,Probable,21360,248,307
10,2020-11-19T00:00:00.000,Confirmed,190156,13576,3594
11,2020-11-19T00:00:00.000,Probable,20631,239,302
12,2020-11-18T00:00:00.000,Confirmed,188853,13475,3569
13,2020-11-18T00:00:00.000,Probable,19980,232,291
14,2020-11-17T00:00:00.000,Confirmed,187287,13385,3557
15,2020-11-17T00:00:00.000,Probable,19475,223,278
16,2020-11-16T00:00:00.000,Confirmed,185525,13332,3533
17,2020-11-16T00:00:00.000,Probable,19112,220,273
18,2020-11-15T00:00:00.000,Confirmed,183454,13290,3527
19,2020-11-15T00:00:00.000,Probable,18506,214,273
20,2020-11-14T00:00:00.000,Confirmed,182484,13267,3526
21,2020-11-14T00:00:00.000,Probable,18315,213,273
22,2020-11-13T00:00:00.000,Confirmed,181476,13204,3513
23,2020-11-13T00:00:00.000,Probable,17786,204,272
24,2020-11-12T00:00:00.000,Confirmed,180623,13141,3490
25,2020-11-12T00:00:00.000,Probable,17404,198,268
26,2020-11-11T00:00:00.000,Confirmed,179686,13080,3474
27,2020-11-11T00:00:00.000,Probable,16820,193,267
28,2020-11-10T00:00:00.000,Confirmed,178432,12996,3460
29,2020-11-10T00:00:00.000,Probable,16480,187,266
30,2020-11-09T00:00:00.000,Confirmed,177240,12936,3447
31,2020-11-09T00:00:00.000,Probable,16237,180,266
32,2020-11-08T00:00:00.000,Confirmed,176219,12886,3441
33,2020-11-08T00:00:00.000,Probable,15956,178,266
34,2020-11-07T00:00:00.000,Confirmed,175187,12846,3439
35,2020-11-07T00:00:00.000,Probable,15686,176,265
36,2020-11-06T00:00:00.000,Confirmed,173645,12762,3432
37,2020-11-06T00:00:00.000,Probable,15125,174,250
38,2020-11-05T00:00:00.000,Confirmed,172418,12695,3426
39,2020-11-05T00:00:00.000,Probable,14784,170,262
40,2020-11-04T00:00:00.000,Confirmed,171426,12631,3416
41,2020-11-04T00:00:00.000,Probable,14410,166,261
42,2020-11-03T00:00:00.000,Confirmed,170577,12583,3408
43,2020-11-03T00:00:00.000,Probable,14102,156,258
44,2020-11-02T00:00:00.000,Confirmed,169512,12522,3402
45,2020-11-02T00:00:00.000,Probable,13906,152,256
46,2020-11-01T00:00:00.000,Confirmed,168675,12495,3399
47,2020-11-01T00:00:00.000,Probable,13717,152,256
48,2020-10-31T00:00:00.000,Confirmed,167703,12452,3398
49,2020-10-31T00:00:00.000,Probable,13487,152,256
50,2020-10-30T00:00:00.000,Confirmed,166551,12368,3391
51,2020-10-30T00:00:00.000,Probable,13088,143,252
52,2020-10-29T00:00:00.000,Confirmed,165384,12314,3384
53,2020-10-29T00:00:00.000,Probable,12799,140,252
54,2020-10-28T00:00:00.000,Confirmed,164308,12248,3364
55,2020-10-28T00:00:00.000,Probable,12446,136,252
56,2020-10-27T00:00:00.000,Confirmed,163339,12190,3350
57,2020-10-27T00:00:00.000,Probable,12070,130,250
58,2020-10-26T00:00:00.000,Confirmed,162427,12132,3331
59,2020-10-26T00:00:00.000,Probable,11848,128,250
60,2020-10-25T00:00:00.000,Confirmed,161668,12107,3329
61,2020-10-25T00:00:00.000,Probable,11703,126,250
62,2020-10-24T00:00:00.000,Confirmed,160843,12075,3328
63,2020-10-24T00:00:00.000,Probable,11529,123,250
64,2020-10-23T00:00:00.000,Confirmed,160004,12018,3293
65,2020-10-23T00:00:00.000,Probable,11280,122,246
66,2020-10-22T00:00:00.000,Confirmed,159060,11953,3274
67,2020-10-22T00:00:00.000,Probable,11044,120,250
68,2020-10-21T00:00:00.000,Confirmed,157998,11896,3266
69,2020-10-21T00:00:00.000,Probable,10774,114,249
70,2020-10-20T00:00:00.000,Confirmed,157213,11845,3236
71,2020-10-20T00:00:00.000,Probable,10541,110,249
72,2020-10-19T00:00:00.000,Confirmed,156439,11777,3209
73,2020-10-19T00:00:00.000,Probable,10389,105,248
74,2020-10-18T00:00:00.000,Confirmed,155838,11756,3186
75,2020-10-18T00:00:00.000,Probable,10300,105,247
76,2020-10-17T00:00:00.000,Confirmed,155068,11726,3175
77,2020-10-17T00:00:00.000,Probable,10170,105,247
78,2020-10-16T00:00:00.000,Confirmed,154126,11675,3161
79,2020-10-16T00:00:00.000,Probable,9998,105,247
80,2020-10-15T00:00:00.000,Confirmed,153117,11602,3149
81,2020-10-15T00:00:00.000,Probable,9824,102,239
82,2020-10-14T00:00:00.000,Confirmed,152039,11526,3141
83,2020-10-14T00:00:00.000,Probable,9571,102,240
84,2020-10-13T00:00:00.000,Confirmed,151357,11497,3132
85,2020-10-13T00:00:00.000,Probable,9448,101,240
86,2020-10-12T00:00:00.000,Confirmed,150321,11453,3122
87,2020-10-12T00:00:00.000,Probable,9249,100,239
88,2020-10-11T00:00:00.000,Confirmed,149631,11421,3120
89,2020-10-11T00:00:00.000,Probable,9085,98,238
90,2020-10-10T00:00:00.000,Confirmed,148933,11405,3116
91,2020-10-10T00:00:00.000,Probable,8972,96,238
92,2020-10-09T00:00:00.000,Confirmed,147928,11352,3110
93,2020-10-09T00:00:00.000,Probable,8721,95,234
94,2020-10-08T00:00:00.000,Confirmed,146957,11299,3097
95,2020-10-08T00:00:00.000,Probable,8578,94,231
96,2020-10-07T00:00:00.000,Confirmed,145462,11252,3088
97,2020-10-07T00:00:00.000,Probable,8229,93,215
98,2020-10-06T00:00:00.000,Confirmed,144987,11222,3077
99,2020-10-06T00:00:00.000,Probable,8195,94,214
100,2020-10-05T00:00:00.000,Confirmed,144439,11167,3063
101,2020-10-05T00:00:00.000,Probable,8118,92,213
102,2020-10-04T00:00:00.000,Confirmed,143883,11130,3060
103,2020-10-04T00:00:00.000,Probable,7987,91,213
104,2020-10-03T00:00:00.000,Confirmed,142923,11102,3057
105,2020-10-03T00:00:00.000,Probable,7880,89,213
106,2020-10-02T00:00:00.000,Confirmed,141850,11051,3037
107,2020-10-02T00:00:00.000,Probable,7837,89,213
108,2020-10-01T00:00:00.000,Confirmed,140990,11006,3015
109,2020-10-01T00:00:00.000,Probable,7731,86,213
110,2020-09-30T00:00:00.000,Confirmed,140614,10956,2995
111,2020-09-30T00:00:00.000,Probable,7657,85,213
112,2020-09-29T00:00:00.000,Confirmed,139961,10894,2976
113,2020-09-29T00:00:00.000,Probable,7555,84,211
114,2020-09-28T00:00:00.000,Confirmed,139144,10832,2962
115,2020-09-28T00:00:00.000,Probable,7449,84,210
116,2020-09-27T00:00:00.000,Confirmed,138734,10804,2951
117,2020-09-27T00:00:00.000,Probable,7410,85,208
118,2020-09-26T00:00:00.000,Confirmed,138173,10778,2937
119,2020-09-26T00:00:00.000,Probable,7235,85,207
120,2020-09-25T00:00:00.000,Confirmed,137283,10721,2930
121,2020-09-25T00:00:00.000,Probable,7150,85,206
122,2020-09-24T00:00:00.000,Confirmed,136448,10684,2907
123,2020-09-24T00:00:00.000,Probable,7044,85,206
124,2020-09-23T00:00:00.000,Confirmed,135626,10634,2882
125,2020-09-23T00:00:00.000,Probable,6964,84,207
126,2020-09-22T00:00:00.000,Confirmed,135101,10592,2853
127,2020-09-22T00:00:00.000,Probable,6909,83,207
128,2020-09-21T00:00:00.000,Confirmed,134301,10531,2816
129,2020-09-21T00:00:00.000,Probable,6837,82,205
130,2020-09-20T00:00:00.000,Confirmed,133722,10510,2811
131,2020-09-20T00:00:00.000,Probable,6789,81,204
132,2020-09-19T00:00:00.000,Confirmed,132966,10484,2787
133,2020-09-19T00:00:00.000,Probable,6689,78,203
134,2020-09-18T00:00:00.000,Confirmed,132090,10445,2755
135,2020-09-18T00:00:00.000,Probable,6612,75,194
136,2020-09-17T00:00:00.000,Confirmed,130960,10393,2734
137,2020-09-17T00:00:00.000,Probable,6500,71,186
138,2020-09-16T00:00:00.000,Confirmed,129963,10318,2711
139,2020-09-16T00:00:00.000,Probable,6396,71,173
140,2020-09-15T00:00:00.000,Confirmed,129259,10267,2691
141,2020-09-15T00:00:00.000,Probable,6255,70,148
142,2020-09-14T00:00:00.000,Confirmed,128400,10223,2607
143,2020-09-14T00:00:00.000,Probable,6171,70,136
144,2020-09-13T00:00:00.000,Confirmed,127672,10175,2591
145,2020-09-13T00:00:00.000,Probable,6142,69,133
146,2020-09-12T00:00:00.000,Confirmed,126850,10149,2589
147,2020-09-12T00:00:00.000,Probable,6090,69,133
148,2020-09-11T00:00:00.000,Confirmed,125703,10085,2578
149,2020-09-11T00:00:00.000,Probable,5937,70,133
150,2020-09-10T00:00:00.000,Confirmed,124619,10015,2575
151,2020-09-10T00:00:00.000,Probable,5906,70,133
152,2020-09-09T00:00:00.000,Confirmed,123488,9938,2564
153,2020-09-09T00:00:00.000,Probable,5801,70,133
154,2020-09-08T00:00:00.000,Confirmed,122711,9863,2553
155,2020-09-08T00:00:00.000,Probable,5696,69,133
