state,stateAbbrev,date,Hospitalizations,Deaths,Cases,Tested,Age [0-17],Age [18-59],Age [60+],Age [Unknown],Sex [Female],Sex [Unknown],Sex [Male],Race_Cases [American Indian/Native American],Race_Cases [Asian],Race_Cases [Black Or African American],Race_Cases [Native Hawaiian/Pacific Islander],Race_Cases [Other],Race_Cases [Unknown],Race_Cases [White],Ethnicity_Cases [Hispanic/Latino],Ethnicity_Cases [Non-Hispanic/Latino],Ethnicity_Cases [Unknown],Race_Deaths [American Indian/Native American],Race_Deaths [Asian],Race_Deaths [Black Or African American],Race_Deaths [Native Hawaiian/Pacific Islander],Race_Deaths [Other],Race_Deaths [Unknown],Race_Deaths [White],Ethnicity_Deaths [Hispanic/Latino],Ethnicity_Deaths [Non-Hispanic/Latino],Ethnicity_Deaths [Unknown],pullTime
Georgia,GA,2020-03-14,,1,42,,1,20,19,2,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-15,,1,66,,1,28,35,2,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-16,,1,121,,2,53,53,13,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-17,,1,146,,1,67,58,19,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-18,,1,197,1065.0,4,85,77,32,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-19,,10,287,1323.0,3,132,100,52,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-20,,13,420,1682.0,4,172,139,105,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-21,,20,555,2798.0,6,228,178,144,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-22,,25,620,3099.0,6,372,223,19,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-23,,26,800,3824.0,8,472,288,32,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-24,,38,1097,4106.0,11,614,384,88,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-25,,47,1387,4697.0,14,832,499,42,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-26,,47,1387,4697.0,14,832,499,42,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
Georgia,GA,2020-03-27,,56,1643,7302.0,16,937,575,115,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00
