,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
1,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
2,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
3,Napa,2020-03-29,0.0,26.0,,,,,5.0
4,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
5,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
6,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
7,Inyo,2020-03-29,,,,,,,
8,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
9,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
10,Calaveras,2020-03-29,,,,,,,
11,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
12,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
13,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
14,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
15,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
16,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
17,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
18,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
19,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
20,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
21,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
22,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
23,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
24,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
25,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
26,Colusa,2020-03-29,,,,,,,
27,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
28,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
29,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
30,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
31,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
32,Glenn,2020-03-29,,,,,,,
33,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
34,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
35,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
36,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
37,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
38,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
39,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
40,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
41,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
42,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
43,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
44,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
45,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
46,Butte,2020-03-29,,,,,,,
47,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
48,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
49,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
50,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
51,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
52,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
53,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
54,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
55,Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
56,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
57,Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
58,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
59,Inyo,2020-03-30,,,,,,,
60,Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
61,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
62,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
63,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
64,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
65,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
66,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
67,Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
68,San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
