Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/21/2020,Female,27,5,0,Mount Rogers,2020-04-21 21:19:23.068154
4/21/2020,Male,18,3,0,Roanoke,2020-04-21 21:19:23.068154
4/21/2020,Female,159,43,13,Peninsula,2020-04-21 21:19:23.068154
4/21/2020,Male,31,8,1,Alleghany,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,1,0,0,Portsmouth,2020-04-21 21:19:23.068154
4/21/2020,Male,29,10,4,Mount Rogers,2020-04-21 21:19:23.068154
4/21/2020,Male,102,20,8,Thomas Jefferson,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,4,2,0,Crater,2020-04-21 21:19:23.068154
4/21/2020,Male,105,22,2,Western Tidewater,2020-04-21 21:19:23.068154
4/21/2020,Male,76,21,2,Chesapeake,2020-04-21 21:19:23.068154
4/21/2020,Female,37,2,0,Central Virginia,2020-04-21 21:19:23.068154
4/21/2020,Male,52,5,2,Central Virginia,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,5,2,1,Richmond,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,8,0,0,Chesterfield,2020-04-21 21:19:23.068154
4/21/2020,Female,16,5,1,Lenowisco,2020-04-21 21:19:23.068154
4/21/2020,Male,77,10,1,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/22/2020,Female,167,25,3,Virginia Beach,2020-04-22 20:25:52.245144
4/22/2020,Female,9,2,0,Roanoke,2020-04-22 20:25:52.245144
4/22/2020,Female,120,16,4,Chickahominy,2020-04-22 20:25:52.245144
4/22/2020,Female,206,13,2,Chesterfield,2020-04-22 20:25:52.245144
4/22/2020,Male,30,11,2,Piedmont,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,3,0,0,Rappahannock,2020-04-22 20:25:52.245144
4/22/2020,Male,34,13,1,Southside,2020-04-22 20:25:52.245144
4/22/2020,Female,132,16,1,Richmond,2020-04-22 20:25:52.245144
4/22/2020,Male,13,3,1,West Piedmont,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,2,0,0,Alexandria,2020-04-22 20:25:52.245144
4/22/2020,Female,102,18,2,Chesapeake,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,1,0,0,Mount Rogers,2020-04-22 20:25:52.245144
4/22/2020,Female,164,32,2,Rappahannock,2020-04-22 20:25:52.245144
4/22/2020,Male,39,17,2,Portsmouth,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,2,0,0,Loudoun,2020-04-22 20:25:52.245144
4/22/2020,Female,15,1,0,West Piedmont,2020-04-22 20:25:52.245144
4/22/2020,Male,31,5,0,New River,2020-04-22 20:25:52.245144
4/22/2020,Male,6,0,0,Cumberland Plateau,2020-04-22 20:25:52.245144
4/22/2020,Female,79,8,1,Rappahannock Rapidan,2020-04-22 20:25:52.245144
4/22/2020,Male,16,8,1,Pittsylvania-Danville,2020-04-22 20:25:52.245144
4/22/2020,Female,242,20,5,Loudoun,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,13,1,0,Fairfax,2020-04-22 20:25:52.245144
4/22/2020,Female,391,43,42,Henrico,2020-04-22 20:25:52.245144
4/22/2020,Female,112,9,0,Lord Fairfax,2020-04-22 20:25:52.245144
4/22/2020,Male,231,41,4,Loudoun,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,2,0,0,Rappahannock Rapidan,2020-04-22 20:25:52.245144
4/22/2020,Male,327,65,14,Arlington,2020-04-22 20:25:52.245144
4/22/2020,Female,60,5,1,Piedmont,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,5,1,0,Chickahominy,2020-04-22 20:25:52.245144
4/22/2020,Female,135,15,4,Western Tidewater,2020-04-22 20:25:52.245144
4/22/2020,Female,79,14,6,Crater,2020-04-22 20:25:52.245144
4/22/2020,Male,114,23,8,Richmond,2020-04-22 20:25:52.245144
4/22/2020,Male,143,43,7,Rappahannock,2020-04-22 20:25:52.245144
4/22/2020,Male,187,16,7,Chesterfield,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,7,1,1,Henrico,2020-04-22 20:25:52.245144
4/22/2020,Female,1118,162,31,Fairfax,2020-04-22 20:25:52.245144
4/22/2020,Female,246,31,4,Alexandria,2020-04-22 20:25:52.245144
4/22/2020,Male,1175,246,37,Fairfax,2020-04-22 20:25:52.245144
4/22/2020,Male,226,34,8,Alexandria,2020-04-22 20:25:52.245144
4/22/2020,Female,53,13,2,Portsmouth,2020-04-22 20:25:52.245144
4/22/2020,Male,146,35,5,Virginia Beach,2020-04-22 20:25:52.245144
4/22/2020,Female,12,1,0,Cumberland Plateau,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,8,0,0,Central Shenandoah,2020-04-22 20:25:52.245144
4/22/2020,Male,222,20,6,Central Shenandoah,2020-04-22 20:25:52.245144
4/22/2020,Female,331,51,10,Arlington,2020-04-22 20:25:52.245144
4/22/2020,Female,22,9,1,Pittsylvania-Danville,2020-04-22 20:25:52.245144
4/22/2020,Female,26,4,1,Three Rivers,2020-04-22 20:25:52.245144
4/22/2020,Male,105,12,0,Lord Fairfax,2020-04-22 20:25:52.245144
4/22/2020,Female,52,9,0,Hampton,2020-04-22 20:25:52.245144
4/22/2020,Female,60,8,0,Southside,2020-04-22 20:25:52.245144
4/22/2020,Female,41,5,2,Alleghany,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,5,0,0,Arlington,2020-04-22 20:25:52.245144
4/22/2020,Male,286,52,39,Henrico,2020-04-22 20:25:52.245144
4/22/2020,Female,34,3,0,New River,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,6,0,0,Prince William,2020-04-22 20:25:52.245144
4/22/2020,Female,127,26,2,Thomas Jefferson,2020-04-22 20:25:52.245144
4/22/2020,Male,56,10,3,Crater,2020-04-22 20:25:52.245144
4/22/2020,Female,295,16,3,Central Shenandoah,2020-04-22 20:25:52.245144
4/22/2020,Female,23,9,1,Eastern Shore,2020-04-22 20:25:52.245144
4/22/2020,Male,16,5,1,Lenowisco,2020-04-22 20:25:52.245144
4/22/2020,Male,49,16,3,Norfolk,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,1,0,0,New River,2020-04-22 20:25:52.245144
4/22/2020,Male,78,6,0,Three Rivers,2020-04-22 20:25:52.245144
4/22/2020,Female,547,57,7,Prince William,2020-04-22 20:25:52.245144
4/22/2020,Male,44,7,0,Eastern Shore,2020-04-22 20:25:52.245144
4/22/2020,Male,45,17,1,Hampton,2020-04-22 20:25:52.245144
4/22/2020,Male,151,53,7,Peninsula,2020-04-22 20:25:52.245144
4/22/2020,Female,77,13,0,Norfolk,2020-04-22 20:25:52.245144
4/22/2020,Male,66,18,7,Chickahominy,2020-04-22 20:25:52.245144
4/22/2020,Male,522,65,11,Prince William,2020-04-22 20:25:52.245144
4/22/2020,Female,27,5,0,Mount Rogers,2020-04-22 20:25:52.245144
4/22/2020,Male,18,3,0,Roanoke,2020-04-22 20:25:52.245144
4/22/2020,Female,160,43,13,Peninsula,2020-04-22 20:25:52.245144
4/22/2020,Male,32,8,1,Alleghany,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,1,0,0,Portsmouth,2020-04-22 20:25:52.245144
4/22/2020,Male,30,10,4,Mount Rogers,2020-04-22 20:25:52.245144
4/22/2020,Male,107,20,8,Thomas Jefferson,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,4,2,0,Crater,2020-04-22 20:25:52.245144
4/22/2020,Male,114,24,2,Western Tidewater,2020-04-22 20:25:52.245144
4/22/2020,Male,78,21,3,Chesapeake,2020-04-22 20:25:52.245144
4/22/2020,Female,38,2,0,Central Virginia,2020-04-22 20:25:52.245144
4/22/2020,Male,55,5,2,Central Virginia,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,4,2,1,Richmond,2020-04-22 20:25:52.245144
4/22/2020,Not Reported,9,1,0,Chesterfield,2020-04-22 20:25:52.245144
4/22/2020,Male,83,10,1,Rappahannock Rapidan,2020-04-22 20:25:52.245144
4/22/2020,Female,16,5,1,Lenowisco,2020-04-22 20:25:52.245144
4/22/2020,Female,167,25,3,Virginia Beach,2020-04-22 20:26:02.510946
4/22/2020,Female,9,2,0,Roanoke,2020-04-22 20:26:02.510946
