,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
0,02/29/2020,1,11,0,,
1,03/01/2020,0,4,0,,
2,03/02/2020,0,21,0,,
3,03/03/2020,2,20,0,,
4,03/04/2020,5,22,0,,
5,03/05/2020,3,20,0,,
6,03/06/2020,8,18,0,3.0,
7,03/07/2020,7,15,0,4.0,
8,03/08/2020,21,17,0,7.0,
9,03/09/2020,58,49,0,15.0,
10,03/10/2020,70,63,0,25.0,
11,03/11/2020,155,90,1,46.0,
12,03/12/2020,357,92,0,97.0,
13,03/13/2020,620,156,0,184.0,
14,03/14/2020,644,159,2,275.0,
15,03/15/2020,1037,189,5,420.0,
16,03/16/2020,2122,317,8,715.0,
17,03/17/2020,2453,357,8,1055.0,
18,03/18/2020,2974,470,21,1458.0,
19,03/19/2020,3707,559,24,1937.0,
20,03/20/2020,4009,662,47,2421.0,
21,03/21/2020,2638,700,44,2706.0,
22,03/22/2020,2580,727,50,2926.0,
23,03/23/2020,3572,1036,82,3133.0,
24,03/24/2020,4506,1154,95,3427.0,
25,03/25/2020,4863,1303,123,3696.0,
26,03/26/2020,5052,1452,190,3889.0,
27,03/27/2020,5129,1392,217,4049.0,
28,03/28/2020,3477,1364,274,4168.0,
29,03/29/2020,3561,1408,292,4309.0,
30,03/30/2020,6135,1718,325,4675.0,
31,03/31/2020,5472,1695,384,4813.0,
32,04/01/2020,5464,1595,447,4899.0,
33,04/02/2020,5769,1618,498,5001.0,
34,04/03/2020,5676,1602,498,5079.0,
35,04/04/2020,3867,1344,511,5135.0,
36,04/05/2020,3793,1328,580,5168.0,
37,04/06/2020,6377,1722,576,5203.0,
38,04/07/2020,6064,1604,598,5287.0,
39,04/08/2020,5587,1540,569,5305.0,
40,04/09/2020,5073,1426,560,5205.0,
41,04/10/2020,4517,1337,539,5040.0,
42,04/11/2020,3732,1098,543,5020.0,
43,04/12/2020,2890,995,572,4891.0,
44,04/13/2020,3313,1213,571,4454.0,
45,04/14/2020,4147,1088,511,4180.0,
46,04/15/2020,3878,981,455,3936.0,
47,04/16/2020,3530,882,414,3715.0,
48,04/17/2020,3584,901,384,3582.0,
49,04/18/2020,2173,665,391,3359.0,
50,04/19/2020,2346,593,399,3282.0,
51,04/20/2020,3793,725,364,3350.0,
52,04/21/2020,3065,661,323,3196.0,
53,04/22/2020,3462,598,312,3136.0,
54,04/23/2020,2843,532,332,3038.0,
55,04/24/2020,2539,550,316,2889.0,
56,04/25/2020,1595,403,265,2806.0,
57,04/26/2020,1003,375,246,2614.0,
58,04/27/2020,2298,444,271,2401.0,
59,04/28/2020,2730,445,228,2353.0,
60,04/29/2020,2342,407,240,2193.0,
61,04/30/2020,2024,345,223,2076.0,
62,05/01/2020,1889,353,209,1983.0,
63,05/02/2020,1060,261,192,1907.0,
64,05/03/2020,785,256,178,1875.0,
65,05/04/2020,1551,312,159,1769.0,
66,05/05/2020,1513,283,151,1595.0,
67,05/06/2020,1402,262,150,1461.0,
68,05/07/2020,1235,259,141,1348.0,
69,05/08/2020,1081,257,131,1232.0,
70,05/09/2020,657,185,100,1175.0,
71,05/10/2020,458,157,103,1128.0,
72,05/11/2020,1233,247,103,1083.0,
73,05/12/2020,1285,211,91,1050.0,
74,05/13/2020,1336,230,83,1041.0,
75,05/14/2020,1112,220,70,1023.0,
76,05/15/2020,875,234,86,994.0,
77,05/16/2020,488,164,83,970.0,
78,05/17/2020,359,125,77,955.0,
79,05/18/2020,900,178,57,908.0,
80,05/19/2020,1004,205,54,868.0,
81,05/20/2020,1075,170,81,830.0,
82,05/21/2020,1072,174,45,825.0,
83,05/22/2020,1061,197,65,851.0,
84,05/23/2020,465,134,60,848.0,
85,05/24/2020,479,120,49,865.0,
86,05/25/2020,469,141,49,804.0,
87,05/26/2020,1055,153,37,811.0,
88,05/27/2020,746,161,49,764.0,
89,05/28/2020,639,140,38,702.0,
90,05/29/2020,644,170,43,642.0,
91,05/30/2020,349,98,54,626.0,
92,05/31/2020,217,90,39,588.0,
93,06/01/2020,664,124,34,616.0,
94,06/02/2020,574,123,38,548.0,
95,06/03/2020,514,115,43,514.0,
96,06/04/2020,510,90,33,496.0,
97,06/05/2020,404,65,28,462.0,
98,06/06/2020,247,46,35,447.0,
99,06/07/2020,199,47,24,445.0,
100,06/08/2020,444,62,41,413.0,
101,06/09/2020,421,51,33,391.0,
102,06/10/2020,365,45,31,370.0,
103,06/11/2020,357,41,21,348.0,
104,06/12/2020,410,55,23,349.0,
105,06/13/2020,197,28,14,342.0,
106,06/14/2020,183,43,24,340.0,
107,06/15/2020,376,49,20,330.0,
108,06/16/2020,422,50,19,330.0,
109,06/17/2020,356,41,20,329.0,
110,06/18/2020,371,39,17,331.0,
111,06/19/2020,361,40,17,324.0,
112,06/20/2020,206,26,19,325.0,
113,06/21/2020,176,34,28,324.0,
114,06/22/2020,396,44,25,327.0,
115,06/23/2020,383,42,27,321.0,
116,06/24/2020,384,37,25,325.0,
117,06/25/2020,301,37,19,315.0,
118,06/26/2020,313,34,20,308.0,
119,06/27/2020,208,37,21,309.0,
120,06/28/2020,202,31,19,312.0,
121,06/29/2020,438,38,25,318.0,
122,06/30/2020,447,37,24,328.0,
123,07/01/2020,398,29,12,330.0,
124,07/02/2020,416,30,25,346.0,
125,07/03/2020,230,22,23,334.0,
126,07/04/2020,119,22,14,321.0,
127,07/05/2020,154,24,17,315.0,
128,07/06/2020,435,43,17,314.0,
129,07/07/2020,463,41,13,316.0,
130,07/08/2020,436,32,20,322.0,
131,07/09/2020,396,42,10,319.0,
132,07/10/2020,310,35,10,330.0,
133,07/11/2020,256,30,13,350.0,
134,07/12/2020,222,18,11,360.0,
135,07/13/2020,480,46,16,366.0,
136,07/14/2020,398,33,10,357.0,
137,07/15/2020,437,27,14,357.0,
138,07/16/2020,420,31,10,360.0,
139,07/17/2020,415,48,13,375.0,
140,07/18/2020,217,29,11,370.0,
141,07/19/2020,175,32,7,363.0,
142,07/20/2020,396,32,11,351.0,
143,07/21/2020,337,21,11,342.0,
144,07/22/2020,326,31,8,327.0,
145,07/23/2020,307,34,9,310.0,
146,07/24/2020,302,34,6,294.0,
147,07/25/2020,152,30,11,285.0,
148,07/26/2020,139,18,8,280.0,
149,07/27/2020,318,43,5,269.0,
150,07/28/2020,313,35,12,265.0,
151,07/29/2020,283,22,5,259.0,
152,07/30/2020,268,31,4,254.0,
153,07/31/2020,261,27,5,248.0,
154,08/01/2020,184,22,8,252.0,
155,08/02/2020,134,29,2,252.0,
