,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
0,02/29/2020,1,11,0,,
1,03/01/2020,0,4,0,,
2,03/02/2020,0,21,0,,
3,03/03/2020,1,20,0,,
4,03/04/2020,5,22,0,,
5,03/05/2020,3,20,0,,
6,03/06/2020,8,18,0,3.0,
7,03/07/2020,7,15,0,3.0,
8,03/08/2020,22,17,0,7.0,
9,03/09/2020,57,49,0,15.0,
10,03/10/2020,70,63,0,25.0,
11,03/11/2020,155,90,1,46.0,
12,03/12/2020,357,94,0,97.0,
13,03/13/2020,619,157,0,184.0,
14,03/14/2020,642,157,2,275.0,
15,03/15/2020,1036,191,5,419.0,
16,03/16/2020,2121,316,8,714.0,
17,03/17/2020,2452,356,8,1055.0,
18,03/18/2020,2972,471,20,1457.0,
19,03/19/2020,3707,558,24,1936.0,
20,03/20/2020,4007,665,47,2420.0,
21,03/21/2020,2637,701,44,2705.0,
22,03/22/2020,2580,725,50,2925.0,
23,03/23/2020,3571,1042,82,3132.0,
24,03/24/2020,4503,1167,95,3425.0,
25,03/25/2020,4874,1312,123,3697.0,
26,03/26/2020,5050,1454,190,3889.0,
27,03/27/2020,5120,1402,218,4048.0,
28,03/28/2020,3478,1371,274,4168.0,
29,03/29/2020,3562,1411,292,4308.0,
30,03/30/2020,6131,1722,325,4674.0,
31,03/31/2020,5466,1701,385,4812.0,
32,04/01/2020,5454,1649,447,4894.0,
33,04/02/2020,5757,1627,499,4995.0,
34,04/03/2020,5670,1603,498,5074.0,
35,04/04/2020,3866,1350,512,5129.0,
36,04/05/2020,3787,1338,580,5162.0,
37,04/06/2020,6366,1722,575,5195.0,
38,04/07/2020,6052,1610,599,5279.0,
39,04/08/2020,5583,1546,569,5297.0,
40,04/09/2020,5072,1424,561,5199.0,
41,04/10/2020,4515,1346,540,5034.0,
42,04/11/2020,3731,1108,542,5015.0,
43,04/12/2020,2889,997,572,4887.0,
44,04/13/2020,3313,1214,570,4451.0,
45,04/14/2020,4147,1094,510,4179.0,
46,04/15/2020,3877,983,455,3935.0,
47,04/16/2020,3529,884,414,3714.0,
48,04/17/2020,3584,902,385,3581.0,
49,04/18/2020,2171,675,390,3359.0,
50,04/19/2020,2346,592,399,3281.0,
51,04/20/2020,3794,729,364,3350.0,
52,04/21/2020,3066,668,324,3195.0,
53,04/22/2020,3462,600,313,3136.0,
54,04/23/2020,2843,537,332,3038.0,
55,04/24/2020,2535,554,316,2888.0,
56,04/25/2020,1597,404,264,2806.0,
57,04/26/2020,1003,375,247,2614.0,
58,04/27/2020,2291,448,271,2400.0,
59,04/28/2020,2729,447,229,2351.0,
60,04/29/2020,2342,408,240,2191.0,
61,04/30/2020,2024,349,225,2074.0,
62,05/01/2020,1890,354,210,1982.0,
63,05/02/2020,1059,266,191,1905.0,
64,05/03/2020,786,266,177,1874.0,
65,05/04/2020,1554,340,159,1769.0,
66,05/05/2020,1514,319,152,1596.0,
67,05/06/2020,1401,305,151,1461.0,
68,05/07/2020,1236,283,141,1349.0,
69,05/08/2020,1082,294,131,1233.0,
70,05/09/2020,657,210,100,1176.0,
71,05/10/2020,458,167,103,1129.0,
72,05/11/2020,1232,276,104,1083.0,
73,05/12/2020,1285,233,91,1050.0,
74,05/13/2020,1335,258,83,1041.0,
75,05/14/2020,1112,252,70,1023.0,
76,05/15/2020,875,271,86,993.0,
77,05/16/2020,486,182,83,969.0,
78,05/17/2020,359,144,77,955.0,
79,05/18/2020,898,206,59,907.0,
80,05/19/2020,1004,228,55,867.0,
81,05/20/2020,1080,179,81,831.0,
82,05/21/2020,1070,198,45,825.0,
83,05/22/2020,1047,227,65,849.0,
84,05/23/2020,460,147,60,845.0,
85,05/24/2020,470,131,49,861.0,
86,05/25/2020,468,159,49,800.0,
87,05/26/2020,1053,169,38,807.0,
88,05/27/2020,745,181,49,759.0,
89,05/28/2020,647,153,38,699.0,
90,05/29/2020,646,190,43,641.0,
91,05/30/2020,349,118,54,625.0,
92,05/31/2020,231,110,39,591.0,
93,06/01/2020,687,150,34,623.0,
94,06/02/2020,574,143,38,554.0,
95,06/03/2020,516,141,43,521.0,
96,06/04/2020,525,107,33,504.0,
97,06/05/2020,403,81,28,469.0,
98,06/06/2020,247,61,35,455.0,
99,06/07/2020,199,67,25,450.0,
100,06/08/2020,451,81,40,416.0,
101,06/09/2020,420,82,33,394.0,
102,06/10/2020,365,75,32,373.0,
103,06/11/2020,368,45,21,350.0,
104,06/12/2020,410,55,24,351.0,
105,06/13/2020,197,28,15,344.0,
106,06/14/2020,183,44,24,342.0,
107,06/15/2020,379,50,20,332.0,
108,06/16/2020,422,50,18,332.0,
109,06/17/2020,356,41,20,331.0,
110,06/18/2020,379,39,17,332.0,
111,06/19/2020,362,39,17,325.0,
112,06/20/2020,205,27,19,327.0,
113,06/21/2020,177,35,28,326.0,
114,06/22/2020,398,44,25,328.0,
115,06/23/2020,383,42,27,323.0,
116,06/24/2020,382,37,25,327.0,
117,06/25/2020,296,37,19,315.0,
118,06/26/2020,311,35,20,307.0,
119,06/27/2020,208,36,21,308.0,
120,06/28/2020,203,32,19,312.0,
121,06/29/2020,436,39,24,317.0,
122,06/30/2020,442,37,23,325.0,
123,07/01/2020,398,29,12,328.0,
124,07/02/2020,417,30,24,345.0,
125,07/03/2020,231,21,22,334.0,
126,07/04/2020,120,22,14,321.0,
127,07/05/2020,153,24,17,314.0,
128,07/06/2020,436,43,16,314.0,
129,07/07/2020,463,40,13,317.0,
130,07/08/2020,435,32,20,322.0,
131,07/09/2020,392,43,10,319.0,
132,07/10/2020,307,35,10,329.0,
133,07/11/2020,255,30,13,349.0,
134,07/12/2020,223,18,11,359.0,
135,07/13/2020,483,46,17,365.0,
136,07/14/2020,401,33,10,357.0,
137,07/15/2020,437,27,14,357.0,
138,07/16/2020,419,30,9,361.0,
139,07/17/2020,415,47,13,376.0,
140,07/18/2020,217,29,11,371.0,
141,07/19/2020,175,33,7,364.0,
142,07/20/2020,399,32,11,352.0,
143,07/21/2020,339,22,11,343.0,
144,07/22/2020,328,31,8,327.0,
145,07/23/2020,308,34,9,312.0,
146,07/24/2020,299,34,6,295.0,
147,07/25/2020,153,30,11,286.0,
148,07/26/2020,140,18,8,281.0,
149,07/27/2020,313,43,5,269.0,
150,07/28/2020,312,35,12,265.0,
151,07/29/2020,285,23,5,259.0,
152,07/30/2020,267,32,4,253.0,
153,07/31/2020,262,27,5,247.0,
154,08/01/2020,189,22,8,253.0,
155,08/02/2020,134,28,2,252.0,
