,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
0,02/29/2020,1,11,0,,
1,03/01/2020,0,4,0,,
2,03/02/2020,0,21,0,,
3,03/03/2020,2,20,0,,
4,03/04/2020,5,22,0,,
5,03/05/2020,3,20,0,,
6,03/06/2020,8,18,0,3.0,
7,03/07/2020,7,15,0,4.0,
8,03/08/2020,21,17,0,7.0,
9,03/09/2020,58,49,0,15.0,
10,03/10/2020,70,63,0,25.0,
11,03/11/2020,155,90,1,46.0,
12,03/12/2020,357,94,0,97.0,
13,03/13/2020,620,157,0,184.0,
14,03/14/2020,643,157,2,275.0,
15,03/15/2020,1037,191,5,420.0,
16,03/16/2020,2122,316,8,715.0,
17,03/17/2020,2453,356,8,1055.0,
18,03/18/2020,2974,471,20,1458.0,
19,03/19/2020,3707,558,24,1937.0,
20,03/20/2020,4007,665,47,2420.0,
21,03/21/2020,2638,701,44,2705.0,
22,03/22/2020,2580,725,50,2926.0,
23,03/23/2020,3572,1042,82,3133.0,
24,03/24/2020,4506,1167,95,3426.0,
25,03/25/2020,4874,1313,123,3698.0,
26,03/26/2020,5051,1454,190,3890.0,
27,03/27/2020,5122,1402,218,4049.0,
28,03/28/2020,3477,1371,274,4169.0,
29,03/29/2020,3561,1411,292,4309.0,
30,03/30/2020,6131,1722,325,4675.0,
31,03/31/2020,5466,1701,385,4812.0,
32,04/01/2020,5453,1650,447,4894.0,
33,04/02/2020,5758,1627,499,4995.0,
34,04/03/2020,5671,1603,498,5074.0,
35,04/04/2020,3868,1350,512,5130.0,
36,04/05/2020,3788,1338,580,5162.0,
37,04/06/2020,6367,1722,575,5196.0,
38,04/07/2020,6055,1610,599,5280.0,
39,04/08/2020,5582,1547,569,5298.0,
40,04/09/2020,5072,1424,561,5200.0,
41,04/10/2020,4517,1346,540,5036.0,
42,04/11/2020,3731,1108,542,5016.0,
43,04/12/2020,2890,997,572,4888.0,
44,04/13/2020,3313,1214,570,4451.0,
45,04/14/2020,4147,1094,510,4179.0,
46,04/15/2020,3877,983,455,3935.0,
47,04/16/2020,3529,884,414,3715.0,
48,04/17/2020,3584,903,385,3582.0,
49,04/18/2020,2172,675,390,3359.0,
50,04/19/2020,2347,592,399,3281.0,
51,04/20/2020,3793,730,364,3350.0,
52,04/21/2020,3065,669,324,3195.0,
53,04/22/2020,3461,601,313,3136.0,
54,04/23/2020,2843,537,332,3038.0,
55,04/24/2020,2536,555,316,2888.0,
56,04/25/2020,1595,406,264,2806.0,
57,04/26/2020,1003,375,247,2614.0,
58,04/27/2020,2297,448,271,2400.0,
59,04/28/2020,2729,445,229,2352.0,
60,04/29/2020,2342,407,240,2192.0,
61,04/30/2020,2024,346,225,2075.0,
62,05/01/2020,1889,352,210,1983.0,
63,05/02/2020,1060,261,191,1906.0,
64,05/03/2020,786,255,177,1875.0,
65,05/04/2020,1553,311,159,1769.0,
66,05/05/2020,1513,283,152,1595.0,
67,05/06/2020,1401,262,150,1461.0,
68,05/07/2020,1235,259,141,1348.0,
69,05/08/2020,1081,257,131,1233.0,
70,05/09/2020,657,185,100,1175.0,
71,05/10/2020,458,157,103,1128.0,
72,05/11/2020,1233,246,103,1083.0,
73,05/12/2020,1285,211,91,1050.0,
74,05/13/2020,1336,230,83,1041.0,
75,05/14/2020,1112,220,70,1023.0,
76,05/15/2020,875,234,86,994.0,
77,05/16/2020,487,163,83,969.0,
78,05/17/2020,359,125,77,955.0,
79,05/18/2020,897,178,58,907.0,
80,05/19/2020,1003,206,54,867.0,
81,05/20/2020,1081,169,81,831.0,
82,05/21/2020,1070,174,45,825.0,
83,05/22/2020,1049,197,65,849.0,
84,05/23/2020,460,134,60,846.0,
85,05/24/2020,471,118,49,862.0,
86,05/25/2020,468,140,49,800.0,
87,05/26/2020,1054,151,38,808.0,
88,05/27/2020,745,161,49,760.0,
89,05/28/2020,646,139,38,699.0,
90,05/29/2020,647,170,43,642.0,
91,05/30/2020,348,98,54,626.0,
92,05/31/2020,231,91,39,591.0,
93,06/01/2020,687,124,34,623.0,
94,06/02/2020,574,123,38,554.0,
95,06/03/2020,517,115,43,521.0,
96,06/04/2020,525,90,33,504.0,
97,06/05/2020,403,65,28,469.0,
98,06/06/2020,247,46,35,455.0,
99,06/07/2020,199,47,25,450.0,
100,06/08/2020,451,62,40,417.0,
101,06/09/2020,420,51,33,395.0,
102,06/10/2020,365,45,32,373.0,
103,06/11/2020,368,41,21,350.0,
104,06/12/2020,410,55,23,351.0,
105,06/13/2020,196,28,15,344.0,
106,06/14/2020,183,44,24,342.0,
107,06/15/2020,379,50,20,332.0,
108,06/16/2020,422,50,18,332.0,
109,06/17/2020,355,41,20,330.0,
110,06/18/2020,379,39,17,332.0,
111,06/19/2020,362,39,17,325.0,
112,06/20/2020,205,27,19,326.0,
113,06/21/2020,176,34,28,325.0,
114,06/22/2020,398,44,25,328.0,
115,06/23/2020,383,42,27,323.0,
116,06/24/2020,382,37,25,326.0,
117,06/25/2020,296,37,19,315.0,
118,06/26/2020,311,34,20,307.0,
119,06/27/2020,208,36,21,308.0,
120,06/28/2020,202,32,19,311.0,
121,06/29/2020,437,39,24,317.0,
122,06/30/2020,443,37,23,326.0,
123,07/01/2020,398,29,12,328.0,
124,07/02/2020,417,30,24,345.0,
125,07/03/2020,231,21,22,334.0,
126,07/04/2020,120,22,14,321.0,
127,07/05/2020,153,24,17,314.0,
128,07/06/2020,435,43,16,314.0,
129,07/07/2020,463,40,13,317.0,
130,07/08/2020,435,32,20,322.0,
131,07/09/2020,394,43,10,319.0,
132,07/10/2020,309,35,10,330.0,
133,07/11/2020,255,30,13,349.0,
134,07/12/2020,223,18,11,359.0,
135,07/13/2020,482,46,17,366.0,
136,07/14/2020,400,33,10,357.0,
137,07/15/2020,438,27,14,357.0,
138,07/16/2020,419,30,9,361.0,
139,07/17/2020,415,47,13,376.0,
140,07/18/2020,217,29,11,371.0,
141,07/19/2020,176,33,7,364.0,
142,07/20/2020,397,32,11,352.0,
143,07/21/2020,338,22,11,343.0,
144,07/22/2020,327,31,8,327.0,
145,07/23/2020,307,34,9,311.0,
146,07/24/2020,303,34,6,295.0,
147,07/25/2020,152,30,11,286.0,
148,07/26/2020,139,18,8,280.0,
149,07/27/2020,320,43,5,269.0,
150,07/28/2020,312,35,12,266.0,
151,07/29/2020,287,23,5,260.0,
152,07/30/2020,267,32,4,254.0,
153,07/31/2020,263,27,5,249.0,
154,08/01/2020,185,22,8,253.0,
155,08/02/2020,135,28,2,253.0,
