0_17_COVID_CASE_RATE,18_44_COVID_CASE_RATE,45_64_COVID_CASE_RATE,65_74_COVID_CASE_RATE,75+_COVID_CASE_RATE,City_Total_COVID_CASE_RATE,0_17_HOSPITALIZED_CASE_RATE,18_44_HOSPITALIZED_CASE_RATE,45_64_HOSPITALIZED_CASE_RATE,65_74_HOSPITALIZED_CASE_RATE,75+_HOSPITALIZED_CASE_RATE,City_Total_HOSPITALIZED_CASE_RATE,0_17_DEATH_RATE,18_44_DEATH_RATE,45_64_DEATH_RATE,65_74_DEATH_RATE,75+_DEATH_RATE,City_Total_DEATH_RATE,0_17_CASE_COUNT,18_44_CASE_COUNT,45_64_CASE_COUNT,65_74_CASE_COUNT,75+_CASE_COUNT,City_Total_CASE_COUNT,0_17_HOSP_COUNT,18_44_HOSP_COUNT,45_64_HOSP_COUNT,65_74_HOSP_COUNT,75+_HOSP_COUNT,City_Total_HOSP_COUNT,0_17_DEATH_COUNT,18_44_DEATH_COUNT,45_64_DEATH_COUNT,65_74_DEATH_COUNT,75+_DEATH_COUNT,City_Total_DEATH_COUNT,Female_COVID_CASE_RATE,Male_COVID_CASE_RATE,Female_HOSPITALIZED_CASE_RATE,Male_HOSPITALIZED_CASE_RATE,Female_DEATH_RATE,Male_DEATH_RATE,Female_CASE_COUNT,Male_CASE_COUNT,Female_HOSP_COUNT,Male_HOSP_COUNT,Female_DEATH_COUNT,Male_DEATH_COUNT,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Race_Asian/Pacific-Islander_COVID_CASE_RATE,Race_Black/African-American_COVID_CASE_RATE,Race_Hispanic/Latino_COVID_CASE_RATE,Race_White_COVID_CASE_RATE,Race_Asian/Pacific-Islander_HOSPITALIZED_RATE,Race_Black/African-American_HOSPITALIZED_RATE,Race_Hispanic/Latino_HOSPITALIZED_RATE,Race_White_HOSPITALIZED_RATE,Race_Asian/Pacific-Islander_DEATH_RATE,Race_Black/African-American_DEATH_RATE,Race_Hispanic/Latino_DEATH_RATE,Race_White_DEATH_RATE,Race_Asian/Pacific-Islander_CASE_COUNT,Race_Black/African-American_CASE_COUNT,Race_Hispanic/Latino_CASE_COUNT,Race_White_CASE_COUNT,Race_Asian/Pacific-Islander_HOSPITALIZED_COUNT,Race_Black/African-American_HOSPITALIZED_COUNT,Race_Hispanic/Latino_HOSPITALIZED_COUNT,Race_White_HOSPITALIZED_COUNT,Race_Asian/Pacific-Islander_DEATH_COUNT,Race_Black/African-American_DEATH_COUNT,Race_Hispanic/Latino_DEATH_COUNT,Race_White_DEATH_COUNT,Scrape_Time
320.8,2196.05,3564.7,3571.21,4310.8,2402.81,28.43,241.89,859.66,1666.67,2648.57,624.57,0.64,19.56,184.43,605.05,1506.65,201.61,5540,74000,73292,24967,23579,201806,491,8151,17675,11652,14487,52456,11,659,3792,4230,8241,16933,2230.39,2588.76,517.74,741.27,152.23,255.59,97976,103705,22743,29695,6687,10239,13,0,0,580.9,1535.55,1402.09,960.95,252.0,661.87,605.48,298.6,102.74,218.52,231.15,108.95,7901,31679,33964,30401,3414,14240,14204,10761,1319,4704,5161,4272,2020-06-03 15:10:23.384410
320.8,2196.05,3564.7,3571.21,4310.8,2402.81,28.43,241.89,859.66,1666.67,2648.57,624.57,0.64,19.56,184.43,605.05,1506.65,201.61,5540,74000,73292,24967,23579,201806,491,8151,17675,11652,14487,52456,11,659,3792,4230,8241,16933,2230.39,2588.76,517.74,741.27,152.23,255.59,97976,103705,22743,29695,6687,10239,13,0,0,580.9,1535.55,1402.09,960.95,252.0,661.87,605.48,298.6,102.74,218.52,231.15,108.95,7901,31679,33964,30401,3414,14240,14204,10761,1319,4704,5161,4272,2020-06-03 19:57:54.122550
321.5,2201.87,3572.97,3579.22,4325.06,2408.92,28.61,242.49,860.44,1668.67,2652.04,625.43,0.64,19.68,184.97,607.62,1511.4,202.32,5552,74196,73462,25023,23657,202319,494,8171,17691,11666,14506,52528,11,663,3803,4248,8267,16992,2235.58,2595.65,518.35,742.32,152.86,256.29,98204,103981,22770,29737,6715,10267,27,0,0,582.08,1538.64,1406.0,962.23,252.04,662.76,606.57,299.04,102.92,219.39,231.81,109.31,7916,31741,34059,30443,3414,14257,14230,10776,1321,4722,5175,4285,2020-06-04 20:31:53.501785
323.0,2206.41,3581.92,3587.95,4340.05,2414.99,28.61,243.82,863.01,1672.82,2659.54,627.44,0.64,19.82,185.79,609.2,1516.71,203.07,5578,74349,73646,25084,23739,202829,494,8216,17744,11695,14547,52697,11,668,3820,4259,8296,17055,2241.57,2602.12,520.67,744.24,153.34,257.52,98467,104240,22872,29814,6736,10316,14,0,0,581.52,1540.7,1416.0,963.08,251.77,664.35,612.02,300.21,102.46,219.77,233.42,109.69,7907,31784,34302,30473,3409,14289,14362,10815,1315,4730,5211,4300,2020-06-05 20:16:15.916505
324.39,2212.67,3591.84,3598.25,4356.14,2422.15,28.72,244.59,864.28,1675.4,2663.38,628.55,0.64,19.85,186.62,611.06,1521.64,203.76,5602,74560,73850,25156,23827,203430,496,8242,17770,11713,14568,52790,11,669,3837,4272,8323,17113,2248.71,2608.88,521.56,745.34,153.75,258.26,98781,104511,22911,29858,6754,10346,17,0,0,584.85,1547.0,1455.02,967.21,250.07,663.3,628.78,298.99,101.32,219.13,238.53,108.98,7955,31910,35223,30596,3389,14267,14740,10768,1301,4716,5319,4274,2020-06-06 20:35:02.300076
325.43,2216.76,3597.68,3603.11,4370.58,2426.78,29.07,245.36,865.54,1678.97,2669.23,629.92,0.64,19.91,186.72,612.2,1525.48,204.15,5620,74698,73970,25190,23906,203819,502,8268,17796,11738,14600,52905,11,671,3839,4280,8344,17146,2252.83,2614.07,522.88,746.71,154.07,258.64,98962,104719,22969,29913,6768,10361,12,0,0,586.24,1551.39,1457.08,970.32,250.67,665.61,628.63,300.46,101.69,219.99,236.56,109.95,7976,32001,35282,30705,3399,14314,14743,10823,1307,4733,5282,4313,2020-06-07 20:33:18.202448
326.42,2221.31,3605.46,3609.4,4381.0,2431.95,29.07,245.45,865.64,1679.12,2670.87,630.09,0.64,20.0,186.86,612.92,1527.67,204.42,5637,74851,74130,25234,23963,204253,502,8271,17798,11739,14609,52920,11,674,3842,4285,8356,17169,2257.55,2619.69,523.11,746.81,154.3,258.94,99169,104944,22979,29917,6778,10373,8,0,0,586.8,1553.94,1459.16,971.36,250.91,665.88,628.88,300.65,101.87,220.62,236.78,110.14,7983,32053,35332,30741,3402,14320,14748,10830,1309,4747,5287,4321,2020-06-08 20:30:44.597610
327.23,2224.87,3610.81,3614.84,4388.68,2435.79,29.13,247.14,871.96,1690.56,2691.53,634.63,0.64,20.06,187.25,614.06,1530.6,204.83,5651,74971,74240,25272,24005,204576,503,8328,17928,11819,14722,53301,11,676,3850,4293,8372,17203,2261.35,2624.03,527.05,752.28,154.87,259.49,99336,105118,23152,30136,6803,10395,13,0,1,587.31,1555.07,1461.44,972.08,251.65,669.08,630.49,301.74,102.19,221.17,237.43,110.24,7990,32077,35386,30763,3412,14388,14785,10869,1313,4759,5301,4325,2020-06-09 20:33:32.447025
328.21,2229.64,3617.23,3623.71,4399.47,2440.97,29.3,247.68,872.84,1692.28,2694.64,635.44,0.64,20.12,187.64,616.49,1535.17,205.45,5668,75132,74372,25334,24064,205011,506,8346,17946,11831,14739,53369,11,678,3858,4310,8397,17255,2266.04,2629.6,527.75,753.13,155.37,260.16,99542,105341,23183,30170,6825,10422,14,0,1,588.57,1557.39,1464.0,973.04,252.07,670.17,631.4,302.07,102.37,221.77,238.39,110.62,8007,32124,35449,30797,3419,14410,14807,10880,1316,4772,5322,4340,2020-06-10 20:36:48.119694
329.55,2233.68,3624.23,3630.57,4407.15,2445.66,29.42,247.95,873.42,1693.42,2697.02,635.96,0.64,20.15,187.93,618.21,1539.92,205.98,5691,75268,74516,25382,24106,205405,508,8355,17958,11839,14752,53413,11,679,3864,4322,8423,17300,2270.5,2634.52,528.23,753.63,155.73,260.84,99738,105538,23204,30190,6841,10449,11,0,0,589.2,1560.89,1466.81,974.28,252.31,670.86,631.86,302.22,102.83,222.42,238.72,110.79,8016,32192,35517,30835,3422,14425,14818,10885,1321,4786,5330,4347,2020-06-11 20:31:13.069642
330.59,2238.61,3631.58,3637.3,4417.75,2450.91,29.65,248.42,874.06,1694.71,2699.94,636.65,0.64,20.24,188.37,620.21,1544.49,206.59,5709,75434,74667,25429,24164,205846,512,8371,17971,11848,14768,53471,11,682,3873,4336,8448,17351,2275.33,2640.33,529.03,754.37,156.39,261.51,99950,105771,23239,30220,6870,10476,8,0,1,589.82,1563.26,1469.76,975.84,252.56,671.76,632.89,302.64,102.91,223.27,239.41,111.01,8025,32240,35587,30884,3426,14442,14842,10901,1323,4804,5345,4355,2020-06-12 20:27:12.327107
331.63,2243.89,3639.99,3644.45,4427.99,2456.58,29.71,248.39,874.25,1695.14,2701.04,636.81,0.64,20.24,188.86,621.5,1547.79,207.03,5727,75612,74840,25479,24220,206322,513,8370,17975,11851,14774,53484,11,682,3883,4345,8466,17388,2280.88,2645.58,529.23,754.5,156.73,262.08,100194,105981,23248,30225,6885,10499,13,0,0,590.67,1565.57,1471.28,976.95,252.65,672.24,632.96,302.85,103.1,223.97,239.77,111.36,8036,32286,35623,30921,3427,14453,14843,10908,1325,4820,5353,4369,2020-06-13 20:44:13.603802
332.33,2246.77,3644.56,3650.03,4435.3,2459.96,29.94,249.13,875.37,1695.99,2703.78,637.68,0.64,20.39,189.0,622.21,1550.35,207.35,5739,75709,74934,25518,24260,206606,517,8395,17998,11857,14789,53557,11,687,3886,4350,8480,17415,2284.25,2649.52,529.96,755.47,157.14,262.28,100342,106139,23280,30264,6903,10507,1,0,0,590.53,1565.74,1471.46,977.13,252.73,672.82,633.32,303.16,103.16,224.36,239.87,111.54,8034,32289,35628,30927,3428,14464,14852,10918,1326,4828,5355,4376,2020-06-14 20:03:42.119629
333.25,2251.16,3652.3,3657.75,4446.82,2465.24,30.0,249.28,875.47,1696.14,2704.69,637.85,0.64,20.42,189.3,622.78,1551.62,207.57,5755,75857,75093,25572,24323,207049,518,8400,18000,11858,14794,53571,11,688,3892,4354,8487,17433,2288.67,2655.09,530.1,755.67,157.3,262.56,100536,106362,23286,30272,6910,10518,9,0,0,592.26,1570.93,1475.48,979.28,252.87,673.87,634.13,303.51,103.32,224.88,240.41,111.78,8057,32397,35726,30998,3430,14486,14871,10930,1328,4839,5367,4385,2020-06-15 20:27:53.484239
334.0,2254.69,3658.57,3661.76,4452.49,2469.09,30.17,249.61,876.1,1696.71,2705.97,638.3,0.64,20.45,189.68,623.64,1552.9,207.83,5768,75976,75222,25600,24354,207373,521,8411,18013,11862,14801,53609,11,689,3900,4360,8494,17455,2292.54,2658.93,530.53,756.17,157.62,262.78,100706,106516,23305,30292,6924,10527,13,1,0,593.32,1574.33,1481.06,981.08,252.75,674.77,636.39,303.83,103.4,225.02,241.38,111.9,8073,32464,35861,31059,3429,14501,14925,10939,1330,4841,5389,4389,2020-06-16 20:29:53.501785
